timestamp;test;operations;duration_ms;throughput_ops_s;p50_ms;p95_ms;p99_ms
12:48:19.710654;WriteOnly (threshold=10000);5000;1659;3014;0,313;0,463;0,597
12:48:21.3841129;WriteOnly (threshold=50000);5000;1627;3073;0,299;0,439;0,575
12:48:22.9986891;WriteOnly (threshold=100000);5000;1598;3129;0,303;0,433;0,565
12:49:43.686843;WriteOnly (threshold=10000);100000;31613;3163;0,297;0,434;0,578
12:50:17.7868616;WriteOnly (threshold=50000);100000;33993;2942;0,323;0,470;0,619
12:50:51.620727;WriteOnly (threshold=100000);100000;33702;2967;0,324;0,460;0,548
13:07:19.011142;WriteOnly (threshold=10000);1000000;377665;2648;0,348;0,481;0,627
13:07:22.4504808;WriteOnly (threshold=10000);1000000;378053;2645;0,348;0,482;0,629
13:13:39.3543716;WriteOnly (threshold=50000);1000000;378727;2640;0,349;0,476;0,599
13:13:42.6454487;WriteOnly (threshold=50000);1000000;378536;2642;0,349;0,476;0,601
13:20:01.7055492;WriteOnly (threshold=100000);1000000;380549;2628;0,349;0,476;0,604
13:20:04.9666039;WriteOnly (threshold=100000);1000000;380647;2627;0,349;0,476;0,603
